Bodnarka;Czarny Diament;Skarb Slaska
3486;3232;4197
4960;2504;3583
3662;4613;3929
4123;4186;3527
4729;3850;4169
4219;4006;3604
4159;4617;4245
4831;2933;4396
3679;4671;4429
4005;4305;3752
3943;3667;3663
3904;3432;4493
4521;3098;4316
3388;4492;3501
4550;3393;4195
3471;2930;3843
3774;3220;3684
4296;3366;3726
4491;3368;4178
3951;3372;3891
4491;3752;3860
3653;4480;3510
3848;4019;3715
3915;4415;4302
3876;4802;3939
4335;2508;4460
3418;3594;3846
3230;2774;4242
3066;3374;3664
4823;4830;4315
3533;2866;3680
4965;4199;4055
4813;4912;4436
3837;2720;4330
3948;3545;3655
3918;4830;4285
3301;3785;4272
3310;2716;4059
4177;3087;4270
3646;4622;3905
3603;4985;4082
4500;4658;3583
4642;3721;4045
4280;2622;3630
3307;4450;3551
3132;3118;4231
3438;2559;4323
4209;4094;3533
3469;3582;3578
3964;4282;3642
3464;3816;4038
4762;3842;4097
3239;3124;4114
4722;4675;4499
4398;3072;4282
3950;3684;3825
3089;3898;3737
4408;2923;4377
3732;2542;4322
4706;3760;4447
3905;4048;3656
4369;4468;3578
4186;3808;4065
3780;3894;4341
3859;3335;4343
4842;4325;4284
4461;3535;4224
3676;3549;4469
4173;3281;4365
3982;3500;4379
4507;4263;4439
3574;2503;3886
3514;3589;4163
3825;3615;4275
3839;3962;4207
4686;2918;3885
3155;4732;4066
3375;3272;4355
4396;2882;3646
4371;3799;3529
3493;4308;3677
3809;4305;3855
3783;3070;3906
3651;3648;4369
4785;3608;3660
4756;2907;3579
3615;3854;3713
4570;2857;3821
3598;3805;3769
4365;3553;3861
4998;3365;3839
3824;3612;3928
3168;4708;4087
4042;4551;3868
4346;4149;3664
4903;4370;4421
4202;3920;4413
3594;4538;3722
4837;3455;3595
3528;3524;3768
4869;2564;3669
4270;3659;3829
4266;3961;4134
4714;3735;3609
3953;4143;3971
3659;4604;3573
3879;4415;4315
3914;3409;4351
3339;3542;3627
3162;2896;3766
3060;4654;4424
3030;4743;4186
4179;3640;3831
4608;2935;3605
3033;3819;3718
4026;2995;3879
3351;3804;3881
4157;4105;3818
3435;4678;4051
3210;2845;4169
3472;3921;3819
4654;4096;3537
4837;3080;4401
4533;4971;4085
4473;3814;3674
4325;3187;3755
4048;2556;4060
3142;3697;4184
4400;4840;3503
4885;4696;3652
4586;4554;4464
3679;3979;3768
4994;3366;4355
4127;3480;4182
3554;4347;4384
3048;4199;4406
4026;4274;4115
3242;2627;3838
3462;4779;4445
4609;3559;3892
4569;2592;4056
3112;3121;4435
3723;4515;4353
3787;4484;3867
4927;3405;4289
4555;4814;4125
4205;4148;3519
4770;4280;3718
3094;2813;4238
3193;2618;4263
4267;2516;4103
4436;3240;3966
4542;2622;4455
3141;4108;4415
4627;2731;4065
4379;2834;4338
4860;4815;3693
4558;2729;3558
4818;4126;4477
4873;3127;4321
3002;2612;3901
4003;3600;3647
3601;3048;4215
3733;2847;3617
3930;2588;3680
3423;3459;4045
4757;4489;3724
3712;3899;4461
4869;4425;4113
4292;3011;3601
3522;2877;3857
4008;3368;4183
3351;3838;4400
4580;3097;4102
3829;3345;3987
3744;4433;3926
4501;4285;3619
4726;3226;4435
3730;4461;4298
3956;3914;3766
4579;4170;3799
4997;3750;4428
