id_sedziego	pozycja	ladowanie	wrazenie	skok	odleglosc	id_zawodnika
1	5	6	6	1	123	1
2	5	6	7	1	123	1
3	5	5	5	1	123	1
4	4	5	4	1	123	1
5	5	7	4	1	123	1
1	5	6	7	1	143	2
2	6	7	6	1	143	2
3	5	5	7	1	143	2
4	3	6	7	1	143	2
5	4	4	7	1	143	2
1	5	6	6	1	131	3
2	4	6	6	1	131	3
3	5	5	5	1	131	3
4	3	6	4	1	131	3
5	6	4	5	1	131	3
1	4	6	6	1	99	4
2	4	6	5	1	99	4
3	5	5	6	1	99	4
4	5	6	6	1	99	4
5	5	4	6	1	99	4
1	6	5	4	1	108	5
2	4	4	6	1	108	5
3	4	6	6	1	108	5
4	3	6	5	1	108	5
5	5	4	6	1	108	5
1	4	7	5	1	93	6
2	3	4	5	1	93	6
3	4	6	6	1	93	6
4	4	4	7	1	93	6
5	4	4	4	1	93	6
1	6	4	7	1	132	7
2	5	7	5	1	132	7
3	5	4	5	1	132	7
4	5	7	5	1	132	7
5	3	4	5	1	132	7
1	6	4	4	1	106	8
2	5	6	5	1	106	8
3	6	5	5	1	106	8
4	3	5	4	1	106	8
5	5	7	7	1	106	8
1	6	4	7	1	133	9
2	4	4	5	1	133	9
3	4	7	5	1	133	9
4	5	7	6	1	133	9
5	3	6	4	1	133	9
1	5	7	4	1	142	10
2	4	5	4	1	142	10
3	6	4	6	1	142	10
4	4	7	5	1	142	10
5	6	6	6	1	142	10
1	4	6	4	1	130	11
2	4	5	7	1	130	11
3	5	7	6	1	130	11
4	6	4	7	1	130	11
5	3	7	4	1	130	11
1	3	4	4	1	116	12
2	4	4	5	1	116	12
3	4	5	6	1	116	12
4	3	4	4	1	116	12
5	4	7	6	1	116	12
1	6	7	4	1	103	13
2	3	5	7	1	103	13
3	3	4	6	1	103	13
4	6	6	6	1	103	13
5	6	6	6	1	103	13
1	5	5	5	1	115	14
2	6	5	7	1	115	14
3	5	5	5	1	115	14
4	3	5	6	1	115	14
5	6	4	6	1	115	14
1	3	5	6	1	112	15
2	6	5	4	1	112	15
3	5	6	6	1	112	15
4	5	5	7	1	112	15
5	3	7	5	1	112	15
1	4	5	7	1	92	16
2	6	5	6	1	92	16
3	5	7	7	1	92	16
4	4	7	4	1	92	16
5	4	4	7	1	92	16
1	5	6	5	1	117	17
2	4	6	5	1	117	17
3	4	4	7	1	117	17
4	5	4	6	1	117	17
5	3	4	6	1	117	17
1	4	5	5	1	95	18
2	5	4	4	1	95	18
3	6	4	6	1	95	18
4	4	6	4	1	95	18
5	4	7	5	1	95	18
1	6	6	6	1	100	19
2	4	5	5	1	100	19
3	3	5	5	1	100	19
4	3	4	6	1	100	19
5	3	5	5	1	100	19
1	3	7	7	1	136	20
2	6	4	6	1	136	20
3	4	4	4	1	136	20
4	4	5	7	1	136	20
5	4	4	7	1	136	20
1	6	5	7	1	130	21
2	6	7	5	1	130	21
3	6	4	7	1	130	21
4	5	4	7	1	130	21
5	5	6	7	1	130	21
1	3	7	4	1	122	22
2	6	7	7	1	122	22
3	6	4	7	1	122	22
4	4	4	7	1	122	22
5	6	6	5	1	122	22
1	5	4	7	1	129	23
2	4	4	7	1	129	23
3	5	5	4	1	129	23
4	5	7	7	1	129	23
5	4	5	5	1	129	23
1	4	4	7	1	108	24
2	6	7	6	1	108	24
3	4	5	7	1	108	24
4	5	6	6	1	108	24
5	4	4	6	1	108	24
1	3	7	4	1	123	25
2	3	6	6	1	123	25
3	3	5	4	1	123	25
4	5	7	6	1	123	25
5	5	7	7	1	123	25
1	4	5	7	1	125	26
2	4	4	4	1	125	26
3	3	6	4	1	125	26
4	4	4	7	1	125	26
5	6	4	5	1	125	26
1	5	5	7	1	127	27
2	4	7	7	1	127	27
3	6	7	7	1	127	27
4	5	7	6	1	127	27
5	6	4	4	1	127	27
1	5	4	5	1	118	28
2	3	7	6	1	118	28
3	5	4	7	1	118	28
4	3	4	6	1	118	28
5	4	5	5	1	118	28
1	6	4	4	1	111	29
2	5	4	5	1	111	29
3	6	7	7	1	111	29
4	6	5	7	1	111	29
5	6	6	7	1	111	29
1	3	6	6	1	107	30
2	4	7	6	1	107	30
3	3	5	5	1	107	30
4	5	5	5	1	107	30
5	5	4	6	1	107	30
1	4	7	4	1	96	31
2	6	7	7	1	96	31
3	6	5	7	1	96	31
4	3	4	5	1	96	31
5	5	6	5	1	96	31
1	5	4	4	1	133	32
2	5	7	4	1	133	32
3	6	6	4	1	133	32
4	5	4	6	1	133	32
5	6	4	6	1	133	32
1	5	4	6	1	144	33
2	3	6	4	1	144	33
3	6	7	7	1	144	33
4	5	5	5	1	144	33
5	5	7	5	1	144	33
1	3	6	6	1	135	34
2	4	6	5	1	135	34
3	5	4	6	1	135	34
4	3	6	6	1	135	34
5	4	5	4	1	135	34
1	5	5	4	1	127	35
2	5	7	5	1	127	35
3	6	7	4	1	127	35
4	3	4	7	1	127	35
5	5	5	6	1	127	35
1	5	7	4	1	134	36
2	5	4	7	1	134	36
3	4	4	5	1	134	36
4	5	7	7	1	134	36
5	6	7	7	1	134	36
1	6	6	7	1	130	37
2	5	5	5	1	130	37
3	3	5	5	1	130	37
4	4	6	4	1	130	37
5	5	6	4	1	130	37
1	5	5	6	1	137	38
2	4	7	6	1	137	38
3	3	7	7	1	137	38
4	4	7	7	1	137	38
5	3	7	5	1	137	38
1	4	5	7	1	106	39
2	6	6	7	1	106	39
3	4	6	5	1	106	39
4	5	7	4	1	106	39
5	6	5	5	1	106	39
1	5	4	5	1	95	40
2	4	5	7	1	95	40
3	3	6	7	1	95	40
4	4	7	5	1	95	40
5	5	6	6	1	95	40
1	3	7	7	1	140	41
2	3	5	6	1	140	41
3	5	5	6	1	140	41
4	4	7	7	1	140	41
5	3	4	4	1	140	41
1	3	5	6	1	145	42
2	5	5	5	1	145	42
3	5	5	6	1	145	42
4	5	4	5	1	145	42
5	6	6	6	1	145	42
1	4	4	6	1	138	43
2	6	7	6	1	138	43
3	4	5	7	1	138	43
4	3	7	6	1	138	43
5	6	7	6	1	138	43
1	4	5	7	1	92	44
2	5	6	4	1	92	44
3	3	4	7	1	92	44
4	3	6	5	1	92	44
5	5	6	7	1	92	44
1	3	6	7	1	130	45
2	3	7	6	1	130	45
3	5	6	6	1	130	45
4	5	4	4	1	130	45
5	3	5	7	1	130	45
1	6	4	7	1	129	46
2	5	4	5	1	129	46
3	6	6	4	1	129	46
4	3	4	5	1	129	46
5	3	7	4	1	129	46
1	5	6	5	1	96	47
2	3	6	4	1	96	47
3	4	7	4	1	96	47
4	3	7	6	1	96	47
5	3	6	7	1	96	47
1	5	5	5	1	107	48
2	5	5	4	1	107	48
3	3	6	6	1	107	48
4	6	7	5	1	107	48
5	4	6	6	1	107	48
1	5	5	4	1	104	49
2	4	7	4	1	104	49
3	6	4	4	1	104	49
4	5	5	6	1	104	49
5	3	7	4	1	104	49
1	5	4	6	1	140	50
2	4	5	5	1	140	50
3	4	6	4	1	140	50
4	5	7	6	1	140	50
5	5	6	4	1	140	50
1	3	6	5	1	110	51
2	5	5	5	1	110	51
3	5	4	5	1	110	51
4	4	4	6	1	110	51
5	6	7	6	1	110	51
1	6	4	7	1	93	52
2	6	6	4	1	93	52
3	5	7	7	1	93	52
4	3	7	7	1	93	52
5	3	7	5	1	93	52
1	4	6	5	1	141	53
2	4	4	6	1	141	53
3	5	6	6	1	141	53
4	3	6	7	1	141	53
5	6	5	7	1	141	53
1	6	6	6	1	91	54
2	5	7	4	1	91	54
3	3	5	5	1	91	54
4	4	7	7	1	91	54
5	6	5	5	1	91	54
1	5	4	5	1	117	55
2	6	6	6	1	117	55
3	4	6	6	1	117	55
4	6	6	7	1	117	55
5	3	5	6	1	117	55
1	6	7	6	1	107	56
2	4	7	6	1	107	56
3	5	5	4	1	107	56
4	4	6	5	1	107	56
5	6	7	4	1	107	56
1	3	6	6	1	102	57
2	6	7	6	1	102	57
3	3	5	4	1	102	57
4	5	7	6	1	102	57
5	4	4	4	1	102	57
1	4	5	5	1	116	58
2	6	5	4	1	116	58
3	3	6	7	1	116	58
4	4	6	4	1	116	58
5	5	5	4	1	116	58
1	4	6	7	1	90	59
2	4	4	6	1	90	59
3	3	6	4	1	90	59
4	5	5	6	1	90	59
5	4	4	7	1	90	59
1	3	4	6	1	122	60
2	6	6	6	1	122	60
3	6	7	6	1	122	60
4	4	7	7	1	122	60
5	3	7	7	1	122	60
1	4	7	5	2	96	1
2	3	6	4	2	96	1
3	5	4	6	2	96	1
4	5	7	4	2	96	1
5	4	5	6	2	96	1
1	4	6	4	2	133	2
2	6	7	5	2	133	2
3	5	5	7	2	133	2
4	6	7	4	2	133	2
5	3	4	7	2	133	2
1	5	5	7	2	117	3
2	4	6	7	2	117	3
3	5	4	6	2	117	3
4	6	4	5	2	117	3
5	6	7	7	2	117	3
1	5	6	6	2	105	4
