6415 2379 8791
4BA9 347 5223
21673 27660 51553
3892 631A A101
35527 36341 74070
10100100011101 10000101001000 100101001100101
112B 1A44 2B6F
7C8 A86 135E
27E6 2D61 5547
10011111001101 11110100110100 110010100000001
203402 154414 402220
459 35C4 3A2D
16124 53062 102216
1B2F 355E 508D
22502 20200 43102
22410 1558 24068
3B8C 3D61 78ED
10991 3886 14767
5992 10341 16333
2064 1184 3258
5803 3168 8971
6489 9462 1392B
21221010 200011012 222002022
37546 5206 44754
15105 5582 21687
222224 232424 1010203
1031330 1012002 2103332
515B A78 6017
211100122 122011102 1110112001
9049 3903 11951
143212 14033 201245
40404 411031 1001440
33065 15310 50375
11212120 200002020 211221210
829 3019 3845
37E3 1422 4C05
121424 31302 153130
6510 25215 33725
1232 E54 2186
102100220 112201102 222002022
15480 7802 24382
2B9A 382B 6809
11530 13816 25446
120A 19EE 2BF8
40033 31264 101330
3F47 3A9A 79E1
10483 A644 20017
23213 23601 50114
3848 10028 13877
306F 1392 4401
2852 2A60 53B2
1011000111111 10110101011101 100001110011100
14242 1923 16165
8627 5950 13477
15711 618 16430
33447 26306 61755
3418 13504 17023
219C 6611 87B0
6445 8745 12B8A
542 3657 4310
41444 14033 111032
5068 171B 6786
52011 40335 132350
10416 2255 12672
5129 396 5514
22210 16583 38803
9295 105A2 19887
564C 39A 5A19
96D 2FB7 3924
263B 908 3246
99A9 1239 10137
130351 11305 142100
111021 23355 134420
2834 5614 8548
4696 3870 8236
410300 240211 1201011
8758 9524 18282
224010 321140 1100200
10101000011000 11101001001 11000101100001
114230 121512 240142
3103123 10021 3113210
10321 3107 13430
101D 3E3A 4E57
46043 33546 112622
18104 4320 23424
16727 8116 25844
589B 494A A407
2212121 1320112 10132233
3310113 202020 10112133
304320 401132 1211002
4625 3C97  83BC
39F8 1402 4DFA
10219 8584 187A2
15605 4078 20684
6962 31B4 9B56
2E12 27C4 55D6
100A6 4438 14533
3322302 1002301 10331203
1111000110 1110100011011 10000011100001
66A3 40 6733
